datetime,symbol,open,high,low,close,volume
2025-08-27 16:30:00+00:00,NASDAQ:TSLA,351.94,355.4,349.78,350.76,1212526.0
2025-08-27 17:00:00+00:00,NASDAQ:TSLA,350.75,353.2,350.02,352.77,605380.0
2025-08-27 17:30:00+00:00,NASDAQ:TSLA,352.81,352.96,351.2,352.34,391330.0
2025-08-27 18:00:00+00:00,NASDAQ:TSLA,352.35,354.13,352.26,353.02,482537.0
2025-08-27 18:30:00+00:00,NASDAQ:TSLA,352.98,353.32,351.36,352.59,317553.0
2025-08-27 19:00:00+00:00,NASDAQ:TSLA,352.57,352.65,349.15,350.67,472606.0
2025-08-27 19:30:00+00:00,NASDAQ:TSLA,350.66,351.49,350.0,350.92,263534.0
2025-08-27 20:00:00+00:00,NASDAQ:TSLA,350.88,351.4,350.45,351.01,186198.0
2025-08-27 20:30:00+00:00,NASDAQ:TSLA,350.97,351.25,350.3,350.59,195187.0
2025-08-27 21:00:00+00:00,NASDAQ:TSLA,350.57,352.01,350.38,351.35,240214.0
2025-08-27 21:30:00+00:00,NASDAQ:TSLA,351.31,351.8,350.75,350.78,136085.0
2025-08-27 22:00:00+00:00,NASDAQ:TSLA,350.78,351.36,349.33,349.92,341421.0
2025-08-27 22:30:00+00:00,NASDAQ:TSLA,349.92,351.1,349.44,349.94,493641.0
2025-08-27 23:00:00+00:00,NASDAQ:TSLA,349.47,349.6,346.0,348.02,75233.0
2025-08-27 23:30:00+00:00,NASDAQ:TSLA,348.12,348.5,346.01,347.39,65466.0
2025-08-28 00:00:00+00:00,NASDAQ:TSLA,347.38,348.0,347.05,347.4,23722.0
2025-08-28 00:30:00+00:00,NASDAQ:TSLA,347.39,347.51,347.18,347.36,13206.0
2025-08-28 01:00:00+00:00,NASDAQ:TSLA,347.36,347.38,345.64,345.8,29741.0
2025-08-28 01:30:00+00:00,NASDAQ:TSLA,345.76,346.64,345.76,345.9,15507.0
2025-08-28 02:00:00+00:00,NASDAQ:TSLA,345.9,346.11,345.6,345.85,10746.0
2025-08-28 02:30:00+00:00,NASDAQ:TSLA,345.8,346.24,345.35,345.56,19509.0
2025-08-28 11:00:00+00:00,NASDAQ:TSLA,349.06,350.66,347.61,349.99,31030.0
2025-08-28 11:30:00+00:00,NASDAQ:TSLA,350.08,350.32,349.39,349.46,11122.0
2025-08-28 12:00:00+00:00,NASDAQ:TSLA,349.6,349.85,349.24,349.41,5901.0
2025-08-28 12:30:00+00:00,NASDAQ:TSLA,349.39,349.5,348.71,348.71,8499.0
2025-08-28 13:00:00+00:00,NASDAQ:TSLA,348.7,349.08,348.3,348.83,6604.0
2025-08-28 13:30:00+00:00,NASDAQ:TSLA,348.81,349.1,348.5,349.04,5627.0
2025-08-28 14:00:00+00:00,NASDAQ:TSLA,349.05,349.13,346.5,347.5,40477.0
2025-08-28 14:30:00+00:00,NASDAQ:TSLA,347.47,348.41,347.33,348.35,13141.0
2025-08-28 15:00:00+00:00,NASDAQ:TSLA,348.34,348.5,348.03,348.19,13651.0
2025-08-28 15:30:00+00:00,NASDAQ:TSLA,348.2,350.6,348.19,349.97,70004.0
2025-08-28 16:00:00+00:00,NASDAQ:TSLA,349.95,351.33,349.87,351.0,36576.0
2025-08-28 16:30:00+00:00,NASDAQ:TSLA,351.0,353.55,349.01,350.59,822072.0
2025-08-28 17:00:00+00:00,NASDAQ:TSLA,350.58,351.45,344.91,345.1,707041.0
2025-08-28 17:30:00+00:00,NASDAQ:TSLA,345.12,346.12,343.55,345.52,578992.0
2025-08-28 18:00:00+00:00,NASDAQ:TSLA,345.49,345.88,341.6,341.945,491672.0
2025-08-28 18:30:00+00:00,NASDAQ:TSLA,341.95,343.19,340.26,341.25,595584.0
2025-08-28 19:00:00+00:00,NASDAQ:TSLA,341.27,343.25,341.16,343.2,368186.0
2025-08-28 19:30:00+00:00,NASDAQ:TSLA,343.17,344.07,342.43,343.57,294516.0
2025-08-28 20:00:00+00:00,NASDAQ:TSLA,343.53,344.3,342.91,343.43,239946.0
