datetime,symbol,open,high,low,close,volume
2025-06-18 20:30:00+00:00,NASDAQ:TSLA,321.96,323.72,320.38,323.22,466241.0
2025-06-18 21:00:00+00:00,NASDAQ:TSLA,323.18,325.0,322.6,323.93,533337.0
2025-06-18 21:30:00+00:00,NASDAQ:TSLA,323.87,325.17,320.58,321.17,506021.0
2025-06-18 22:00:00+00:00,NASDAQ:TSLA,321.13,323.96,320.09,322.21,492097.0
2025-06-18 22:30:00+00:00,NASDAQ:TSLA,322.21,324.33,321.75,322.14,635437.0
2025-06-20 16:30:00+00:00,NASDAQ:TSLA,327.81,332.35,323.27,324.49,1757005.0
2025-06-20 17:00:00+00:00,NASDAQ:TSLA,324.43,324.97,318.44,320.14,1231826.0
2025-06-20 17:30:00+00:00,NASDAQ:TSLA,320.14,321.0,317.79,319.44,792061.0
2025-06-20 18:00:00+00:00,NASDAQ:TSLA,319.4,320.67,317.85,319.7,605857.0
2025-06-20 18:30:00+00:00,NASDAQ:TSLA,319.68,322.49,319.61,320.95,620589.0
2025-06-20 19:00:00+00:00,NASDAQ:TSLA,320.98,323.84,320.87,323.36,499627.0
2025-06-20 19:30:00+00:00,NASDAQ:TSLA,323.33,325.9,323.31,324.97,638038.0
2025-06-20 20:00:00+00:00,NASDAQ:TSLA,324.91,324.91,321.41,321.51,574507.0
2025-06-20 20:30:00+00:00,NASDAQ:TSLA,321.51,322.52,319.7,322.41,516809.0
2025-06-20 21:00:00+00:00,NASDAQ:TSLA,322.36,324.26,322.2,323.36,510936.0
2025-06-20 21:30:00+00:00,NASDAQ:TSLA,323.39,324.64,321.85,322.16,539244.0
2025-06-20 22:00:00+00:00,NASDAQ:TSLA,322.16,322.84,320.73,321.32,532115.0
2025-06-20 22:30:00+00:00,NASDAQ:TSLA,321.38,322.8,319.63,322.02,958460.0
2025-06-23 16:30:00+00:00,NASDAQ:TSLA,327.7,343.23,327.4,343.01,3466097.0
2025-06-23 17:00:00+00:00,NASDAQ:TSLA,343.08,353.19,342.66,352.99,3021313.0
2025-06-23 17:30:00+00:00,NASDAQ:TSLA,352.99,356.86,350.03,354.07,2226108.0
2025-06-23 18:00:00+00:00,NASDAQ:TSLA,354.1,357.53,352.76,353.25,1332260.0
2025-06-23 18:30:00+00:00,NASDAQ:TSLA,353.27,355.45,352.42,354.58,1004883.0
2025-06-23 19:00:00+00:00,NASDAQ:TSLA,354.58,356.24,348.16,349.52,1299103.0
2025-06-23 19:30:00+00:00,NASDAQ:TSLA,349.46,351.5,344.41,347.88,1440523.0
2025-06-23 20:00:00+00:00,NASDAQ:TSLA,347.9,351.46,346.8,351.12,738423.0
2025-06-23 20:30:00+00:00,NASDAQ:TSLA,351.17,354.88,351.17,352.46,807481.0
2025-06-23 21:00:00+00:00,NASDAQ:TSLA,352.51,353.0,350.3,350.5,504488.0
2025-06-23 21:30:00+00:00,NASDAQ:TSLA,350.52,352.47,349.87,351.33,634729.0
2025-06-23 22:00:00+00:00,NASDAQ:TSLA,351.3,351.43,348.37,348.75,747160.0
2025-06-23 22:30:00+00:00,NASDAQ:TSLA,348.73,349.89,346.42,348.71,1319219.0
2025-06-24 16:30:00+00:00,NASDAQ:TSLA,356.16,356.24,345.02,347.66,2647222.0
2025-06-24 17:00:00+00:00,NASDAQ:TSLA,347.57,348.27,340.75,341.59,1331570.0
2025-06-24 17:30:00+00:00,NASDAQ:TSLA,341.59,344.82,340.48,341.36,991647.0
2025-06-24 18:00:00+00:00,NASDAQ:TSLA,341.41,344.17,341.24,343.86,691119.0
2025-06-24 18:30:00+00:00,NASDAQ:TSLA,343.92,344.77,341.84,341.91,575147.0
2025-06-24 19:00:00+00:00,NASDAQ:TSLA,341.95,344.2,341.62,342.205,558399.0
2025-06-24 19:30:00+00:00,NASDAQ:TSLA,342.21,344.4,341.72,344.065,402174.0
2025-06-24 20:00:00+00:00,NASDAQ:TSLA,344.06,344.145,341.31,342.23,435470.0
2025-06-24 20:30:00+00:00,NASDAQ:TSLA,342.2,343.28,341.17,341.39,458041.0
2025-06-24 21:00:00+00:00,NASDAQ:TSLA,341.36,342.85,341.28,342.48,340996.0
2025-06-24 21:30:00+00:00,NASDAQ:TSLA,342.5,343.36,341.78,343.13,341056.0
2025-06-24 22:00:00+00:00,NASDAQ:TSLA,343.14,343.7,341.73,341.86,390700.0
2025-06-24 22:30:00+00:00,NASDAQ:TSLA,341.86,343.6,340.48,340.48,868258.0
2025-06-25 16:30:00+00:00,NASDAQ:TSLA,342.71,342.98,330.31,332.01,2014951.0
2025-06-25 17:00:00+00:00,NASDAQ:TSLA,332.04,332.4,320.4,321.51,2442264.0
2025-06-25 17:30:00+00:00,NASDAQ:TSLA,321.51,325.37,321.09,324.51,1398571.0
2025-06-25 18:00:00+00:00,NASDAQ:TSLA,324.52,327.0,324.02,326.04,989101.0
2025-06-25 18:30:00+00:00,NASDAQ:TSLA,326.04,327.28,324.73,325.84,593015.0
2025-06-25 19:00:00+00:00,NASDAQ:TSLA,325.91,326.53,324.69,325.84,427744.0
2025-06-25 19:30:00+00:00,NASDAQ:TSLA,325.88,326.67,324.86,326.02,402157.0
2025-06-25 20:00:00+00:00,NASDAQ:TSLA,326.07,327.62,325.82,327.03,418177.0
2025-06-25 20:30:00+00:00,NASDAQ:TSLA,326.99,327.17,324.85,325.3,398839.0
2025-06-25 21:00:00+00:00,NASDAQ:TSLA,325.31,325.92,324.84,325.18,284499.0
2025-06-25 21:30:00+00:00,NASDAQ:TSLA,325.22,325.25,322.62,324.16,632297.0
2025-06-25 22:00:00+00:00,NASDAQ:TSLA,324.22,328.39,324.22,327.52,765774.0
2025-06-25 22:30:00+00:00,NASDAQ:TSLA,327.53,328.07,326.63,327.55,839452.0
2025-06-26 16:30:00+00:00,NASDAQ:TSLA,324.67,331.1,324.47,327.5,1692996.0
2025-06-26 17:00:00+00:00,NASDAQ:TSLA,327.54,329.39,325.67,325.94,727319.0
2025-06-26 17:30:00+00:00,NASDAQ:TSLA,325.93,328.91,325.39,328.44,673292.0
2025-06-26 18:00:00+00:00,NASDAQ:TSLA,328.44,330.16,323.62,325.81,1008576.0
2025-06-26 18:30:00+00:00,NASDAQ:TSLA,325.8,328.84,325.39,328.5,457728.0
2025-06-26 19:00:00+00:00,NASDAQ:TSLA,328.42,328.5,327.31,327.8,204197.0
2025-06-26 19:30:00+00:00,NASDAQ:TSLA,327.83,329.54,327.83,328.26,299184.0
2025-06-26 20:00:00+00:00,NASDAQ:TSLA,328.24,329.52,327.65,329.01,272984.0
2025-06-26 20:30:00+00:00,NASDAQ:TSLA,329.01,329.11,326.6,327.16,325972.0
2025-06-26 21:00:00+00:00,NASDAQ:TSLA,327.17,328.04,326.42,326.8,252233.0
2025-06-26 21:30:00+00:00,NASDAQ:TSLA,326.76,327.91,326.1,327.6,250305.0
2025-06-26 22:00:00+00:00,NASDAQ:TSLA,327.59,327.88,324.77,327.81,468052.0
2025-06-26 22:30:00+00:00,NASDAQ:TSLA,327.79,328.67,325.66,325.72,506557.0
2025-06-27 16:30:00+00:00,NASDAQ:TSLA,324.54,326.86,320.07,326.03,1219933.0
2025-06-27 17:00:00+00:00,NASDAQ:TSLA,326.09,329.32,325.6,326.59,883950.0
2025-06-27 17:30:00+00:00,NASDAQ:TSLA,326.54,327.63,324.7,325.54,612029.0
2025-06-27 18:00:00+00:00,NASDAQ:TSLA,325.62,325.97,324.1,325.56,400792.0
2025-06-27 18:30:00+00:00,NASDAQ:TSLA,325.5,326.37,324.4,325.245,356231.0
2025-06-27 19:00:00+00:00,NASDAQ:TSLA,325.19,325.26,323.2,324.71,422678.0
2025-06-27 19:30:00+00:00,NASDAQ:TSLA,324.71,325.37,324.26,324.93,265076.0
2025-06-27 20:00:00+00:00,NASDAQ:TSLA,324.98,325.08,324.33,324.57,212249.0
2025-06-27 20:30:00+00:00,NASDAQ:TSLA,324.53,325.88,322.17,322.98,534643.0
2025-06-27 21:00:00+00:00,NASDAQ:TSLA,322.92,323.48,320.67,320.76,520868.0
2025-06-27 21:30:00+00:00,NASDAQ:TSLA,320.81,321.23,317.5,318.56,902999.0
2025-06-27 22:00:00+00:00,NASDAQ:TSLA,318.5,321.96,318.36,321.165,582494.0
2025-06-27 22:30:00+00:00,NASDAQ:TSLA,321.22,324.55,320.86,323.73,829176.0
2025-06-30 16:30:00+00:00,NASDAQ:TSLA,319.89,325.57,319.23,320.88,957537.0
2025-06-30 17:00:00+00:00,NASDAQ:TSLA,320.88,322.69,317.81,319.5,870029.0
2025-06-30 17:30:00+00:00,NASDAQ:TSLA,319.5,321.74,319.03,321.18,482084.0
2025-06-30 18:00:00+00:00,NASDAQ:TSLA,321.23,322.25,320.22,320.54,294012.0
2025-06-30 18:30:00+00:00,NASDAQ:TSLA,320.54,321.64,319.5,321.02,283700.0
2025-06-30 19:00:00+00:00,NASDAQ:TSLA,320.94,322.75,320.68,320.91,261219.0
2025-06-30 19:30:00+00:00,NASDAQ:TSLA,320.89,321.35,319.91,320.26,194007.0
